id,area,geometry
569,206.578023803734,POINT(-75.2254911564468 40.07925538261339)
585,143.4417990012557,POINT(-75.19624544400511 40.023871571268465)
2965,60.270196371621495,POINT(-75.22525749550599 40.07182613337826)
5560,176.6526662377211,POINT(-75.22563703858332 40.071892693259315)
5632,192.52392415423066,POINT(-75.21779654900506 40.05539356036927)
5723,405.92300334948845,POINT(-75.21071933201263 40.04135870413065)
5743,96.73973561934905,POINT(-75.20171497626843 40.03638553848629)
5748,416.87714923120626,POINT(-75.19965560094033 40.032335923493264)
5750,266.14346675030674,POINT(-75.19774688174765 40.028097009345714)
5754,107.16026987082678,POINT(-75.19535802568925 40.02458303817872)
5756,538.5309636313898,POINT(-75.19590039156941 40.0240740504305)
5761,379.2335665666193,POINT(-75.20644297956503 40.01549019646078)
5763,637.9876822786391,POINT(-75.20670505119723 40.01492608913129)
7021,200.9632486828814,POINT(-75.22052865480306 40.06721273483635)
